xhat x, xhat y, xhat heading, traj x, traj y, traj heading, left volt, right volt
0.81127,-0.127646,7.77854,2.03639,0.785513,0.898603,-11.8616,12
0.811281,-0.127788,8.10198,2.04844,0.800729,0.904508,12,-11.9562
0.811319,-0.127885,8.33013,2.06063,0.81612,0.91048,12,-11.9785
0.811361,-0.127959,8.3986,2.07283,0.831789,0.916245,12,-11.9818
0.811397,-0.128021,8.35168,2.0849,0.847876,0.921487,12,-11.9797
0.811423,-0.128074,8.22141,2.09713,0.864177,0.926797,12,-11.9713
0.811436,-0.128119,8.03096,2.10953,0.88069,0.932178,12,-11.9379
0.811438,-0.128148,7.79714,2.12208,0.897416,0.937627,-11.8156,12
0.81144,-0.128137,7.63327,2.1345,0.914594,0.942414,-11.9516,12
0.811451,-0.128095,7.61091,2.14702,0.932082,0.947101,-11.9562,12
0.811462,-0.128042,7.69103,2.15974,0.949827,0.951858,-11.9343,12
0.811468,-0.127977,7.84513,2.17264,0.967831,0.956683,-11.0498,12
0.811444,-0.127767,8.05075,2.18554,0.986227,0.961075,12,-11.9444
0.81135,-0.12744,8.19229,2.1985,1.00504,0.965103,12,-11.9686
0.811239,-0.127136,8.19824,2.21168,1.02417,0.969197,12,-11.9692
0.811147,-0.126847,8.10621,2.22507,1.04361,0.973358,12,-11.957
0.811097,-0.126565,7.94343,2.23854,1.06346,0.9771,12,-11.875
0.811101,-0.126279,7.72975,2.25211,1.08379,0.980419,-11.9139,12
0.811163,-0.125994,7.58075,2.26594,1.10451,0.983799,-11.9612,12
0.811244,-0.125721,7.56935,2.28002,1.1256,0.987242,-11.9628,12
0.81131,-0.125459,7.65741,2.2942,1.1472,0.990028,-11.9456,12
0.811341,-0.125202,7.81729,2.30862,1.16932,0.992568,-11.7215,12
0.811322,-0.124917,8.02853,2.32334,1.19191,0.995162,12,-11.9371
0.811242,-0.124617,8.17541,2.33834,1.21498,0.99764,12,-11.9668
0.811144,-0.124337,8.18524,2.35355,1.23869,0.999257,12,-11.9679
0.811062,-0.124069,8.09602,2.36913,1.26298,1.00091,12,-11.9552
0.811018,-0.123807,7.93527,2.38509,1.28786,1.00261,12,-11.8622
0.811024,-0.123537,7.72309,2.40138,1.31343,1.00335,-11.9183,12
0.811084,-0.123266,7.57522,2.41813,1.33974,1.00394,-11.962,12
0.811163,-0.123007,7.56463,2.43534,1.3668,1.00455,-11.9635,12
0.811227,-0.122758,7.65328,2.45299,1.39452,1.00414,-11.9468,12
0.811258,-0.122512,7.81359,2.47098,1.42279,1.0035,-11.7454,12
0.81124,-0.122241,8.0252,2.48931,1.45159,1.00285,12,-11.9358
0.811165,-0.121957,8.17239,2.50801,1.48075,1.00088,12,-11.9665
0.811073,-0.12169,8.18245,2.52691,1.51021,0.998868,12,-11.9676
0.810997,-0.121435,8.09339,2.54605,1.53993,0.996468,12,-11.9547
0.810955,-0.121184,7.93277,2.56544,1.56967,0.993052,12,-11.8577
0.810961,-0.120925,7.72069,2.58487,1.59948,0.989629,-11.9198,12
0.81102,-0.120662,7.5729,2.60451,1.62918,0.985352,-11.9624,12
0.811097,-0.120411,7.56237,2.62419,1.65866,0.98054,-11.9638,12
0.81116,-0.120169,7.65107,2.64377,1.68799,0.975753,-11.9474,12
0.81119,-0.119931,7.81142,2.66359,1.71681,0.969673,-11.7577,12
0.811174,-0.119668,8.02307,2.68321,1.74528,0.963577,12,-11.935
0.811102,-0.119393,8.17034,2.70271,1.77334,0.957226,12,-11.9663
0.811013,-0.119134,8.18044,2.72231,1.8007,0.949893,12,-11.9674
0.810939,-0.118885,8.09142,2.74159,1.82761,0.942682,12,-11.9543
0.810899,-0.118641,7.93082,2.76079,1.85387,0.934994,12,-11.854
0.810906,-0.118388,7.71877,2.77993,1.87937,0.926684,-11.9209,12
0.810964,-0.11813,7.57101,2.79868,1.90435,0.918545,-11.9626,12
0.81104,-0.117883,7.5605,2.81735,1.92856,0.909905,-11.964,12
0.811102,-0.117645,7.64923,2.83591,1.952,0.90081,-11.9478,12
0.811133,-0.117411,7.80958,2.85404,1.9749,0.891923,-11.7672,12
0.811117,-0.117153,8.02127,2.87202,1.99705,0.882736,12,-11.9343
0.811047,-0.116883,8.16858,2.88996,2.01837,0.873029,12,-11.9661
0.81096,-0.116629,8.17871,2.90747,2.03918,0.863552,12,-11.9672
0.810888,-0.116385,8.08972,2.92462,2.05943,0.854202,12,-11.9539
0.810849,-0.116145,7.92914,2.94195,2.07869,0.844031,12,-11.8506
0.810856,-0.115894,7.71711,2.95888,2.09749,0.834098,-11.9219,12
0.810914,-0.115639,7.56937,2.97541,2.11585,0.8244,-11.9628,12
0.81099,-0.115395,7.55888,2.99189,2.13346,0.814395,-11.9642,12
0.811052,-0.115159,7.64762,3.0083,2.15039,0.804119,-11.9483,12
0.811082,-0.114927,7.80799,3.02436,2.16695,0.79407,-11.7748,12
0.811067,-0.114673,8.01971,3.04006,2.18313,0.784246,12,-11.9336
0.810999,-0.114406,8.16704,3.05582,2.19854,0.774041,12,-11.9659
0.810913,-0.114155,8.17721,3.07149,2.21343,0.763736,12,-11.967
0.810842,-0.113914,8.08823,3.08684,2.22803,0.753636,12,-11.9536
0.810804,-0.113677,7.92767,3.10189,2.24234,0.743738,12,-11.8476
0.810811,-0.113428,7.71565,3.11693,2.25604,0.733662,-11.9227,12
0.81087,-0.113175,7.56793,3.13201,2.26917,0.72338,-11.963,12
0.810945,-0.112932,7.55747,3.14684,2.28208,0.713271,-11.9644,12
0.811007,-0.112698,7.64622,3.16141,2.29477,0.703336,-11.9486,12
0.811038,-0.112467,7.8066,3.17573,2.30724,0.693567,-11.7811,12
0.811023,-0.112215,8.01833,3.19039,2.31884,0.683352,12,-11.9331
0.810956,-0.111952,8.1657,3.20484,2.33029,0.673277,12,-11.9657
0.810871,-0.111703,8.17589,3.21909,2.34159,0.663341,12,-11.9669
0.810801,-0.111464,8.08693,3.23314,2.35272,0.653545,12,-11.9534
0.810764,-0.111228,7.92638,3.2471,2.36355,0.643793,12,-11.8448
0.810772,-0.110981,7.71438,3.26131,2.37372,0.633801,-11.9234,12
0.81083,-0.110728,7.56668,3.27537,2.38377,0.623915,-11.9632,12
0.810905,-0.110487,7.55622,3.28927,2.39372,0.614135,-11.9646,12
0.810968,-0.110254,7.64499,3.30303,2.40357,0.60446,-11.9489,12
0.810999,-0.110024,7.80538,3.31669,2.41322,0.594856,-11.7863,12
0.810984,-0.109773,8.01713,3.33065,2.42218,0.585083,12,-11.9326
0.810918,-0.109512,8.16452,3.3445,2.43106,0.575384,12,-11.9656
0.810834,-0.109265,8.17473,3.35824,2.43988,0.565759,12,-11.9668
0.810765,-0.109027,8.08578,3.37188,2.44863,0.556207,12,-11.9531
0.810728,-0.108793,7.92524,3.38542,2.45731,0.54673,12,-11.8422
0.810736,-0.108547,7.71325,3.39919,2.46539,0.537218,-11.924,12
0.810794,-0.108295,7.56557,3.41299,2.47326,0.527723,-11.9634,12
0.81087,-0.108054,7.55513,3.42673,2.4811,0.518273,-11.9647,12
0.810932,-0.107822,7.6439,3.4404,2.4889,0.50887,-11.9492,12
0.810963,-0.107592,7.8043,3.454,2.49666,0.499512,-11.7907,12
0.81095,-0.107343,8.01607,3.46763,2.50422,0.490206,12,-11.9321
0.810883,-0.107084,8.16348,3.48151,2.5112,0.480948,12,-11.9655
0.810801,-0.106838,8.1737,3.49536,2.51817,0.471712,12,-11.9666
0.810732,-0.106601,8.08477,3.50917,2.52512,0.462497,12,-11.9529
0.810695,-0.106368,7.92424,3.52296,2.53206,0.453303,12,-11.8399
0.810704,-0.106123,7.71226,3.53671,2.53898,0.44413,-11.9245,12
0.810762,-0.105871,7.56459,3.55063,2.54548,0.435074,-11.9635,12
0.810838,-0.105631,7.55417,3.56469,2.55166,0.426099,-11.9648,12
0.8109,-0.105399,7.64295,3.57876,2.55784,0.417123,-11.9494,12
0.810932,-0.10517,7.80335,3.59282,2.56403,0.408148,-11.7944,12
0.810918,-0.104922,8.01514,3.60688,2.57021,0.399173,12,-11.9317
0.810853,-0.104663,8.16257,3.62095,2.57639,0.390198,12,-11.9653
0.810771,-0.104419,8.1728,3.63525,2.58199,0.38147,12,-11.9665
0.810702,-0.104183,8.08388,3.64965,2.58746,0.372791,12,-11.9527
0.810666,-0.103951,7.92335,3.66408,2.59294,0.364093,12,-11.8378
0.810675,-0.103706,7.71139,3.67854,2.59843,0.355378,-11.925,12
0.810734,-0.103455,7.56373,3.69302,2.60393,0.346646,-11.9636,12
0.810809,-0.103215,7.55332,3.70754,2.60944,0.337898,-11.9649,12
0.810872,-0.102983,7.64211,3.72235,2.61424,0.329569,-11.9496,12
0.810903,-0.102755,7.80252,3.73722,2.61907,0.321208,-11.7976,12
0.81089,-0.102507,8.01431,3.75215,2.62391,0.312814,12,-11.9313
0.810825,-0.10225,8.16176,3.76714,2.62876,0.304387,12,-11.9652
0.810743,-0.102006,8.172,3.78219,2.63364,0.295928,12,-11.9664
0.810676,-0.101771,8.08309,3.79735,2.63836,0.287571,12,-11.9525
0.81064,-0.10154,7.92257,3.81274,2.64256,0.279599,12,-11.8359
0.810648,-0.101295,7.71062,3.82823,2.64679,0.271583,-11.9254,12
0.810707,-0.101044,7.56297,3.8438,2.65103,0.263521,-11.9637,12
0.810783,-0.100804,7.55257,3.85946,2.6553,0.255415,-11.965,12
0.810846,-0.100573,7.64136,3.8752,2.6596,0.247264,-11.9498,12
0.810877,-0.100344,7.80178,3.89113,2.66353,0.239428,-11.8003,12
0.810864,-0.100097,8.01358,3.90726,2.66716,0.231838,12,-11.931
0.8108,-0.0998408,8.16104,3.9235,2.67082,0.224194,12,-11.9652
0.810719,-0.0995975,8.1713,3.93986,2.67451,0.216495,12,-11.9664
0.810651,-0.0993634,8.08239,3.95633,2.67823,0.208741,12,-11.9524
0.810615,-0.0991325,7.92188,3.97292,2.68197,0.200932,12,-11.8342
0.810624,-0.0988882,7.70994,3.98978,2.68507,0.193786,-11.9257,12
0.810683,-0.098637,7.5623,4.00679,2.68818,0.186603,-11.9638,12
0.810759,-0.0983973,7.5519,4.02395,2.69131,0.179359,-11.9651,12
0.810822,-0.0981662,7.6407,4.04125,2.69447,0.172052,-11.95,12
0.810854,-0.097938,7.80112,4.05871,2.69765,0.164682,-11.8027,12
0.810841,-0.0976917,8.01294,4.07637,2.70052,0.157683,12,-11.9307
0.810777,-0.0974358,8.16041,4.09426,2.70309,0.151004,12,-11.9651
0.810696,-0.097193,8.17067,4.11234,2.70569,0.144256,12,-11.9663
0.810629,-0.0969594,8.08177,4.1306,2.70832,0.137441,12,-11.9523
0.810593,-0.0967289,7.92127,4.14904,2.71098,0.130557,12,-11.8326
0.810602,-0.0964848,7.70933,4.16769,2.71349,0.123842,-11.926,12
0.810662,-0.0962336,7.5617,4.18661,2.71556,0.117706,-11.9639,12
0.810738,-0.0959939,7.55131,4.20575,2.71766,0.111497,-11.9652,12
0.810801,-0.095763,7.64012,4.22512,2.71979,0.105217,-11.9501,12
0.810833,-0.0955349,7.80055,4.24471,2.72193,0.098864,-11.8047,12
0.81082,-0.095289,8.01237,4.26453,2.72398,0.0926349,12,-11.9305
0.810756,-0.0950336,8.15985,4.28465,2.72559,0.0870861,12,-11.965
0.810675,-0.0947913,8.17012,4.30504,2.72722,0.0814629,12,-11.9662
0.810609,-0.0945581,8.08122,4.3257,2.72887,0.0757654,12,-11.9521
0.810573,-0.094328,7.92073,4.34663,2.73054,0.0699936,12,-11.8312
0.810582,-0.094084,7.70879,4.36785,2.73203,0.0645209,-11.9263,12
0.810642,-0.0938328,7.56118,4.3894,2.73321,0.0596159,-11.9639,12
0.810718,-0.0935932,7.55079,4.41129,2.7344,0.0546362,-11.9652,12
0.810781,-0.0933623,7.6396,4.4335,2.73561,0.049582,-11.9502,12
0.810813,-0.0931342,7.80003,4.45604,2.73683,0.0444532,-11.8065,12
0.810801,-0.0928887,8.01186,4.47886,2.73771,0.0401086,12,-11.9302
0.810737,-0.0926338,8.15935,4.50184,2.73848,0.0359873,12,-11.965
0.810657,-0.0923918,8.16963,4.52495,2.73926,0.0318412,12,-11.9662
0.81059,-0.0921589,8.08074,4.5482,2.74004,0.0276702,12,-11.952
0.810555,-0.0919292,7.92025,4.57154,2.74071,0.0238596,12,-11.83
0.810564,-0.0916853,7.70832,4.59423,2.74111,0.0208939,-11.9266,12
0.810624,-0.091434,7.56071,4.61605,2.74149,0.0180428,-11.964,12
0.8107,-0.0911944,7.55033,4.63699,2.74186,0.0153062,-11.9653,12
0.810763,-0.0909635,7.63914,4.65705,2.74222,0.0126841,-11.9503,12
0.810795,-0.0907355,7.79958,4.67624,2.74246,0.0106143,-11.808,12
0.810783,-0.0904902,8.01141,4.69455,2.74258,0.00913931,12,-11.93
0.810719,-0.0902357,8.15891,4.71199,2.7427,0.00773492,12,-11.9649
0.810639,-0.0899941,8.1692,4.72855,2.74281,0.00640113,12,-11.9661
0.810573,-0.0897615,8.08031,4.74423,2.74291,0.00513795,12,-11.9519
0.810538,-0.0895319,7.91982,4.75904,2.74301,0.00394537,12,-11.8288
0.810547,-0.0892881,7.7079,4.77297,2.7431,0.00287704,-11.9268,12
0.810607,-0.0890368,7.56029,4.78602,2.74311,0.00251532,-11.9641,12
0.810683,-0.0887972,7.54992,4.7982,2.74312,0.0021779,-11.9653,12
0.810746,-0.0885663,7.63874,4.8095,2.74313,0.00186476,-11.9504,12
0.810779,-0.0883383,7.79918,4.81993,2.74314,0.00157592,-11.8094,12
0.810766,-0.0880932,8.01101,4.82947,2.74315,0.00131137,12,-11.9299
0.810703,-0.0878391,8.15852,4.83814,2.74316,0.00107111,12,-11.9649
0.810623,-0.0875977,8.16881,4.84594,2.74317,0.000855141,12,-11.9661
0.810557,-0.0873653,8.07993,4.85286,2.74318,0.000663463,12,-11.9518
0.810522,-0.087136,7.91944,4.8589,2.74318,0.000496075,12,-11.8278
0.810532,-0.0868922,7.70752,4.86406,2.74319,0.000352978,-11.927,12
0.810591,-0.0866408,7.55992,4.86835,2.74319,0.000234172,-11.9641,12
0.810668,-0.0864012,7.54955,4.87176,2.7432,0.000139657,-11.9654,12
0.810731,-0.0861703,7.63838,4.87429,2.7432,6.94325e-05,-11.9505,12
0.810764,-0.0859423,7.79882,4.87595,2.7432,2.34991e-05,-11.8105,12
0.810751,-0.0856974,8.01066,4.87673,2.7432,1.85657e-06,12,-11.9297
