second,Ampere
+1.30000E-03,+310.54688E-03
+1.31000E-03,+313.28125E-03
+1.32000E-03,+314.45313E-03
+1.33000E-03,+316.21094E-03
+1.34000E-03,+318.55469E-03
+1.35000E-03,+319.53125E-03
+1.36000E-03,+322.26563E-03
+1.37000E-03,+323.63282E-03
+1.38000E-03,+325.00000E-03
+1.39000E-03,+327.14844E-03
+1.40000E-03,+327.92969E-03
+1.41000E-03,+330.27344E-03
+1.42000E-03,+331.64063E-03
+1.43000E-03,+333.20313E-03
+1.44000E-03,+335.54688E-03
+1.45000E-03,+336.13282E-03
+1.46000E-03,+338.67188E-03
+1.47000E-03,+339.64844E-03
+1.48000E-03,+341.01563E-03
+1.49000E-03,+343.16407E-03
+1.50000E-03,+343.55469E-03
+1.51000E-03,+345.70313E-03
+1.52000E-03,+346.67969E-03
+1.53000E-03,+347.85157E-03
+1.54000E-03,+349.80469E-03
+1.55000E-03,+350.39063E-03
+1.56000E-03,+352.53907E-03
+1.57000E-03,+353.51563E-03
+1.58000E-03,+354.49219E-03
+1.59000E-03,+356.44532E-03
+1.60000E-03,+356.64063E-03
+1.61000E-03,+358.59376E-03
+1.62000E-03,+359.37501E-03
+1.63000E-03,+360.15626E-03
+1.64000E-03,+362.10938E-03
+1.65000E-03,+362.30469E-03
+1.66000E-03,+364.06251E-03
+1.67000E-03,+364.64844E-03
+1.68000E-03,+365.23438E-03
+1.69000E-03,+366.99219E-03
+1.70000E-03,+367.18751E-03
+1.71000E-03,+368.75001E-03
+1.72000E-03,+369.53126E-03
+1.73000E-03,+369.92188E-03
+1.74000E-03,+371.28907E-03
+1.75000E-03,+371.28907E-03
+1.76000E-03,+372.85157E-03
+1.77000E-03,+373.43751E-03
+1.78000E-03,+373.63282E-03
+1.79000E-03,+375.00001E-03
+1.80000E-03,+374.80469E-03
+1.81000E-03,+375.97657E-03
+1.82000E-03,+376.56251E-03
+1.83000E-03,+376.36719E-03
+1.84000E-03,+377.92969E-03
+1.85000E-03,+377.73438E-03
+1.86000E-03,+378.51563E-03
+1.87000E-03,+379.29688E-03
+1.88000E-03,+378.90626E-03
+1.89000E-03,+380.27344E-03
+1.90000E-03,+379.88282E-03
+1.91000E-03,+380.66407E-03
+1.92000E-03,+381.05469E-03
+1.93000E-03,+380.85938E-03
+1.94000E-03,+381.83594E-03
+1.95000E-03,+381.25001E-03
+1.96000E-03,+381.83594E-03
+1.97000E-03,+382.42188E-03
+1.98000E-03,+382.03126E-03
+1.99000E-03,+383.00782E-03
+2.00000E-03,+382.42188E-03
+2.01000E-03,+382.81251E-03
+2.02000E-03,+383.20313E-03
+2.03000E-03,+382.42188E-03
+2.04000E-03,+383.20313E-03
+2.05000E-03,+382.61719E-03
+2.06000E-03,+382.81251E-03
+2.07000E-03,+383.00782E-03
+2.08000E-03,+382.03126E-03
+2.09000E-03,+382.81251E-03
+2.10000E-03,+382.22657E-03
+2.11000E-03,+382.22657E-03
+2.12000E-03,+382.42188E-03
+2.13000E-03,+381.25001E-03
+2.14000E-03,+382.03126E-03
+2.15000E-03,+381.05469E-03
+2.16000E-03,+380.85938E-03
+2.17000E-03,+381.05469E-03
+2.18000E-03,+380.07813E-03
+2.19000E-03,+380.46876E-03
+2.20000E-03,+379.68751E-03
+2.21000E-03,+379.29688E-03
+2.22000E-03,+379.49219E-03
+2.23000E-03,+377.92969E-03
+2.24000E-03,+378.51563E-03
+2.25000E-03,+377.34376E-03
+2.26000E-03,+376.95313E-03
+2.27000E-03,+377.14844E-03
+2.28000E-03,+375.58594E-03
+2.29000E-03,+375.97657E-03
+2.30000E-03,+375.00001E-03
+2.31000E-03,+374.21876E-03
+2.32000E-03,+374.21876E-03
+2.33000E-03,+372.65626E-03
+2.34000E-03,+373.04688E-03
+2.35000E-03,+371.67969E-03
+2.36000E-03,+370.89844E-03
+2.37000E-03,+370.89844E-03
+2.38000E-03,+369.33594E-03
+2.39000E-03,+369.33594E-03
+2.40000E-03,+368.16407E-03
+2.41000E-03,+367.18751E-03
+2.42000E-03,+366.99219E-03
+2.43000E-03,+365.42969E-03
+2.44000E-03,+365.23438E-03
+2.45000E-03,+364.25782E-03
+2.46000E-03,+363.08594E-03
+2.47000E-03,+362.89063E-03
+2.48000E-03,+361.13282E-03
+2.49000E-03,+360.93751E-03
+2.50000E-03,+359.57032E-03
+2.51000E-03,+357.81251E-03
+2.52000E-03,+358.00782E-03
+2.53000E-03,+356.05469E-03
+2.54000E-03,+355.66407E-03
+2.55000E-03,+354.49219E-03
+2.56000E-03,+353.12501E-03
+2.57000E-03,+352.92969E-03
+2.58000E-03,+350.78126E-03
+2.59000E-03,+350.58594E-03
+2.60000E-03,+349.41407E-03
+2.61000E-03,+347.65626E-03
+2.62000E-03,+347.46094E-03
+2.63000E-03,+345.11719E-03
+2.64000E-03,+344.72657E-03
+2.65000E-03,+343.55469E-03
+2.66000E-03,+341.79688E-03
+2.67000E-03,+341.60157E-03
+2.68000E-03,+339.45313E-03
+2.69000E-03,+338.67188E-03
+2.70000E-03,+337.50001E-03
+2.71000E-03,+335.35157E-03
+2.72000E-03,+335.15625E-03
+2.73000E-03,+332.61719E-03
+2.74000E-03,+331.64063E-03
+2.75000E-03,+330.46875E-03
+2.76000E-03,+328.51563E-03
+2.77000E-03,+328.12500E-03
+2.78000E-03,+325.58594E-03
+2.79000E-03,+324.41407E-03
+2.80000E-03,+323.24219E-03
+2.81000E-03,+321.09375E-03
+2.82000E-03,+320.70313E-03
+2.83000E-03,+318.35938E-03
+2.84000E-03,+317.38282E-03
+2.85000E-03,+316.01563E-03
+2.86000E-03,+313.86719E-03
